Model, First flight, Seats, Fuel burn Km, Fuel burn Miles, Fuel per seat, Fuel per seat MPG
Boeing 777-300ER, 2003, 344, 8.58, 30.4lb/mi, 3.11, 76
Boeing 777-9X, 2020, 395, 7.69, 27.3lb/mi, 2.42, 97
Boeing 787-8, 2011, 243, 5.38, 19.1lb/mi, 2.77, 85
Boeing 787-8 GEnx, 2011, 220, 5.3, 19lb/mi, 3.01, 78
Boeing 787-8 Trent, 2011, 220, 5.51, 19.5lb/mi, 3.13, 75
Boeing 787-9 GEnx, 2013, 294, 5.85, 20.8lb/mi, 2.49, 94
Boeing 787-9, 2013, 304, 5.63, 20.0lb/mi, 2.31, 102
Boeing 787-9 GEnx, 2013, 266, 5.62, 19.9lb/mi, 2.64, 89
Boeing 787-9, 2013, 291, 7.18, 25.5lb/mi, 3.08, 76
Boeing 787-10 GEnx, 2017, 337, 6.12, 21.7lb/mi, 2.27, 104
Boeing 787-10 Trent, 2017, 337, 6.24, 22.1lb/mi, 2.31, 102
